d_alt20,,d_alt25,,d_alt22,,d_mkd_base,,d_ground,,d_mk_tm,,d_f1,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
148.54736691641554,327.00920775214115,,,,,140.18010506128573,313.0541625472002,198.5172302890972,343.3147907708068,,,,
152.36507010041572,328.41657633619616,,,,,134.28261724100966,311.6289263975414,201.98449095305597,343.61949232290266,,,,
156.18277328441593,329.8239449202511,,,,,149.20060511488845,315.4684280115782,205.45294278805494,344.2678467201106,,,,
159.6526545246632,330.88468273159344,,,,,144.69011685387906,314.19256471036675,209.61537087110338,345.1283486795869,,,,
163.81817965241632,332.63868208836107,,,,,128.73128372503007,310.06920703743856,213.43188288406333,346.19206441852987,,,,
167.28925206370383,334.04307274481545,,,,,124.22031899560457,308.6558825981823,218.28685780991296,346.8523305261403,,,,
170.75913330395113,335.1038105561578,,,,,120.05765267834806,307.7266500696835,223.48679586901886,347.03446057819446,,,,
173.88476611356626,336.84887613012353,,,,,115.20339245512261,307.2725756691404,230.07373348739148,347.3659634786959,,,,
177.70127812652618,337.9125918690665,,,,,112.08061845600409,306.35227692344347,234.58136293790426,347.81705995163844,,,,
181.86561208323906,339.3229383807221,,,,,108.26315350621192,305.0136389084108,238.7423616157044,348.2651784969804,,,,
186.03113721099214,341.07693773748974,,,,,104.10024895474743,304.0156758108898,242.55792069183218,349.05397195983375,,,,
189.50220962227968,342.48132839394407,,,,,99.24241521840119,302.53064287501047,248.45540851210828,350.47920810949245,,,,
192.6254600898143,343.5390882776858,,,,,95.08022536956082,301.7388714845565,251.579135448059,351.674429131279,,,,
197.1364248192398,344.95241271694204,,,,,91.26418982501698,300.8126168836584,259.56212552560424,354.76706650307915,,,,
200.60749723052734,346.35680337339636,,,,,,,263.37982870960445,356.17443508713416,,,,
204.42639158556779,348.1078248025634,,,,,,,266.1574013412586,357.50413931936487,,,,
207.89627282581506,349.16856261390575,,,,,,,267.89269931269433,358.13760407856967,,,,
212.06060678252794,350.5789091255614,,,,,,,272.0582244404474,359.8916034353373,,,,
214.83841764839013,351.97734392681446,,,,,,,274.8343676668533,360.8089242534336,,,,
218.79405843885127,353.17971197484246,,,,,,,278.30448714130864,361.9383926337983,,,,
222.47382401639055,354.7920810949244,,,,,,,282.12409619897323,363.8956057700325,,,,
226.29152720039073,356.1994496789794,,,,,,,283.8605853414492,364.87272337434933,,,,
230.1092303843909,357.60681826303437,,,,,,,98.64563852723612,330.3605674738836,,,,
233.58030279567845,359.01120891948875,,,,,,,108.0120546509273,332.57161915879504,,,,
237.7446367523913,360.4215554311444,,,,,,,109.05194696906526,332.5805529415969,,,,
240.86788721992593,361.4793153148861,,,,,,,110.43823182570785,332.523734082977,,,,
244.33895963121347,362.8837059713404,,,,,,,112.17138568927112,332.5386237209801,,,,
248.50329358792632,364.29405248299605,,,,,,,115.98456242331841,332.6401114936094,,,,
252.32218794296676,366.04507391216305,,,,,,,119.45087015044487,332.6698907696157,,,,
122.16888423008658,316.81695274624485,,,,,,,121.18450048242426,332.8222415456636,,,,
,,,,,,,,122.91789258019557,332.90586175268913,,,,
,,,,,,,,130.19928291503376,333.5869733535039,,,,
,,,,,,,,132.97352026777526,333.95444961942087,,,,
,,,,,,,,137.8284951936249,334.6147157270313,,,,
