epoch,s_per_epoch,total,contrib_pde,contrib_bc,contrib_ic,contrib_interface,contrib_pde_mech,contrib_bc_mech
81,0.556477,7.283306e+03,2.742999e-02,4.923661e-01,1.982196e+00,1.057123e-05,7.278907e+03,1.896348e+00
82,0.554246,7.181309e+03,4.395940e-01,4.912116e-01,1.978255e+00,1.058474e-05,7.176505e+03,1.895147e+00
83,0.555441,7.082097e+03,1.623110e-02,4.906826e-01,1.977311e+00,1.059976e-05,7.077717e+03,1.895488e+00
84,0.560283,6.986364e+03,1.454365e-02,4.901234e-01,1.976177e+00,1.060077e-05,6.981988e+03,1.895509e+00
85,0.563729,6.893463e+03,1.973812e-02,4.894640e-01,1.974545e+00,1.058676e-05,6.889084e+03,1.894957e+00
86,0.556857,6.803707e+03,5.786845e-01,4.888056e-01,1.972833e+00,1.055843e-05,6.798773e+03,1.894143e+00
87,0.550553,6.715975e+03,1.693187e-01,4.886711e-01,1.973569e+00,1.052618e-05,6.711449e+03,1.894540e+00
88,0.550725,6.630952e+03,1.195223e-02,4.888170e-01,1.975575e+00,1.049091e-05,6.626580e+03,1.895534e+00
89,0.558729,6.547792e+03,1.640719e-02,4.888718e-01,1.977069e+00,1.045224e-05,6.543413e+03,1.896178e+00
90,0.551967,6.466201e+03,1.498070e-02,4.888472e-01,1.978129e+00,1.041077e-05,6.461823e+03,1.896593e+00
91,0.552849,6.386443e+03,4.160058e-01,4.887304e-01,1.978718e+00,1.036700e-05,6.381663e+03,1.896831e+00
92,0.548545,6.308072e+03,7.196370e-02,4.891421e-01,1.981825e+00,1.033910e-05,6.303631e+03,1.898680e+00
93,0.549818,6.231533e+03,1.778248e-02,4.896178e-01,1.985202e+00,1.032215e-05,6.227139e+03,1.900929e+00
94,0.549045,6.156642e+03,2.201589e-02,4.900052e-01,1.988119e+00,1.030493e-05,6.152239e+03,1.903206e+00
95,0.550597,6.083689e+03,1.721281e-01,4.903381e-01,1.990739e+00,1.029322e-05,6.079130e+03,1.905628e+00
96,0.549021,6.012651e+03,3.269886e-02,4.909799e-01,1.994798e+00,1.029424e-05,6.008223e+03,1.909197e+00
97,0.549325,5.943676e+03,2.061617e-02,4.915903e-01,1.998655e+00,1.029920e-05,5.939252e+03,1.912958e+00
98,0.553964,5.876597e+03,3.323827e-02,4.921332e-01,2.002129e+00,1.030556e-05,5.872153e+03,1.916772e+00
99,0.554851,5.811363e+03,1.030133e-01,4.926640e-01,2.005476e+00,1.031264e-05,5.806841e+03,1.920740e+00
100,0.546963,5.747692e+03,2.720709e-02,4.933662e-01,2.009566e+00,1.032265e-05,5.743236e+03,1.925311e+00
101,0.549478,5.685476e+03,1.932899e-02,4.940138e-01,2.013312e+00,1.032909e-05,5.681020e+03,1.929797e+00
102,0.547724,5.624496e+03,2.387267e-02,4.945740e-01,2.016559e+00,1.033255e-05,5.620027e+03,1.934048e+00
103,0.557531,5.564659e+03,5.041586e-02,4.950593e-01,2.019368e+00,1.032966e-05,5.560157e+03,1.938044e+00
104,0.547523,5.505911e+03,6.831552e-02,4.955507e-01,2.022136e+00,1.032102e-05,5.501383e+03,1.941965e+00
105,0.548426,5.448197e+03,3.131751e-02,4.960879e-01,2.025063e+00,1.030996e-05,5.443698e+03,1.945889e+00
106,0.546391,5.391552e+03,1.983908e-02,4.965463e-01,2.027568e+00,1.029474e-05,5.387059e+03,1.949462e+00
107,0.546829,5.335974e+03,2.330003e-02,4.968977e-01,2.029535e+00,1.027594e-05,5.331472e+03,1.952584e+00
108,0.545824,5.281463e+03,3.390812e-02,4.971477e-01,2.031011e+00,1.025520e-05,5.276945e+03,1.955273e+00
109,0.548204,5.228019e+03,5.455551e-02,4.973281e-01,2.032166e+00,1.023484e-05,5.223477e+03,1.957628e+00
